kode_prov,kode_kab,name_prov,name_kab
11,1101,Aceh,Kab. Simeulue
11,1102,Aceh,Kab. Aceh Singkil
11,1103,Aceh,Kab. Aceh Selatan
11,1104,Aceh,Kab. Aceh Tenggara
11,1105,Aceh,Kab. Aceh Timur
11,1106,Aceh,Kab. Aceh Tengah
11,1107,Aceh,Kab. Aceh Barat
11,1108,Aceh,Kab. Aceh Besar
11,1109,Aceh,Kab. Aceh Pidie
11,1110,Aceh,Kab. Bireuen
11,1111,Aceh,Kab. Aceh Utara
11,1112,Aceh,Kab. Aceh Barat Daya
11,1113,Aceh,Kab. Gayo Lues
11,1114,Aceh,Kab. Aceh Tamiang
11,1115,Aceh,Kab. Nagan Raya
11,1116,Aceh,Kab. Aceh Jaya
11,1117,Aceh,Kab. Bener Meriah
11,1118,Aceh,Kab. Pidie Jaya
11,1171,Aceh,Kota Banda Aceh
11,1172,Aceh,Kota Sabang
11,1173,Aceh,Kota Langsa
11,1174,Aceh,Kota Lhokseumawe
11,1175,Aceh,Kota Subulussalam
12,1201,Sumatera Utara,Kab. Nias
12,1202,Sumatera Utara,Kab. Mandailing Natal
12,1203,Sumatera Utara,Kab. Tapanuli Selatan
12,1204,Sumatera Utara,Kab. Tapanuli Tengah
12,1205,Sumatera Utara,Kab. Tapanuli Utara
12,1206,Sumatera Utara,Kab. Toba Samosir
12,1207,Sumatera Utara,Kab. Labuhan Batu
12,1208,Sumatera Utara,Kab. Asahan
12,1209,Sumatera Utara,Kab. Simalungun
12,1210,Sumatera Utara,Kab. Dairi
12,1211,Sumatera Utara,Kab. Tanah Karo
12,1212,Sumatera Utara,Kab. Deli Serdang
12,1213,Sumatera Utara,Kab. Langkat
12,1214,Sumatera Utara,Kab. Nias Selatan
12,1215,Sumatera Utara,Kab. Humbang Hasundutan
12,1216,Sumatera Utara,Kab. Pakpak Bharat
12,1217,Sumatera Utara,Kab. Samosir
12,1218,Sumatera Utara,Kab. Serdang Bedagai
12,1219,Sumatera Utara,Kab. Batu Bara
12,1220,Sumatera Utara,Kab. Padang Lawas Utara
12,1221,Sumatera Utara,Kab. Padang Lawas
12,1222,Sumatera Utara,Kab. Labuhan Batu Selatan
12,1223,Sumatera Utara,Kab. Labuhan Batu Utara
12,1224,Sumatera Utara,Kab. Nias Utara
12,1225,Sumatera Utara,Kab. Nias Barat
12,1271,Sumatera Utara,Kota Sibolga
12,1272,Sumatera Utara,Kota Tanjung Balai
12,1273,Sumatera Utara,Kota Pematang Siantar
12,1274,Sumatera Utara,Kota Tebing Tinggi
12,1275,Sumatera Utara,Kota Medan
12,1276,Sumatera Utara,Kota Binjai
12,1277,Sumatera Utara,Kota Padang Sidempuan
12,1278,Sumatera Utara,Kota Gunung Sitoli
13,1301,Sumatera Barat,Kab. Kepulauan Mentawai
13,1302,Sumatera Barat,Kab. Pesisir Selatan
13,1303,Sumatera Barat,Kab. Solok
13,1304,Sumatera Barat,Kab. Sawahlunto Sijunjung
13,1305,Sumatera Barat,Kab. Tanah Datar
13,1306,Sumatera Barat,Kab. Padang Pariaman
13,1307,Sumatera Barat,Kab. Agam
13,1308,Sumatera Barat,Kab. Limapuluh Kota
13,1309,Sumatera Barat,Kab. Pasaman
13,1310,Sumatera Barat,Kab. Solok Selatan
13,1311,Sumatera Barat,Kab. Dharmas Raya
13,1312,Sumatera Barat,Kab. Pasaman Barat
13,1371,Sumatera Barat,Kota Padang
13,1372,Sumatera Barat,Kota Solok
13,1373,Sumatera Barat,Kota Sawahlunto
13,1374,Sumatera Barat,Kota Padang Panjang
13,1375,Sumatera Barat,Kota Bukittinggi
13,1376,Sumatera Barat,Kota Payakumbuh
13,1377,Sumatera Barat,Kota Pariaman
14,1401,Riau,Kab. Kuantan Singingi
14,1402,Riau,Kab. Indragiri Hulu
14,1403,Riau,Kab. Indragiri Hilir
14,1404,Riau,Kab. Pelalawan
14,1405,Riau,Kab. Siak
14,1406,Riau,Kab. Kampar
14,1407,Riau,Kab. Rokan Hulu
14,1408,Riau,Kab. Bengkalis
14,1409,Riau,Kab. Rokan Hilir
14,1410,Riau,Kab. Kepulauan Meranti
14,1471,Riau,Kota Pekan Baru
14,1473,Riau,Kota Dumai
15,1501,Jambi,Kab. Kerinci
15,1502,Jambi,Kab. Merangin
15,1503,Jambi,Kab. Sarolangun
15,1504,Jambi,Kab. Batanghari
15,1505,Jambi,Kab. Muaro Jambi
15,1506,Jambi,Kab. Tanjung Jabung Timur
15,1507,Jambi,Kab. Tanjung Jabung Barat
15,1508,Jambi,Kab. Tebo
15,1509,Jambi,Kab. Bungo
15,1571,Jambi,Kota Jambi
15,1572,Jambi,Kota Sungai Penuh
16,1601,Sumatera Selatan,Kab. Ogan Komering Ulu
16,1602,Sumatera Selatan,Kab. Ogan Komering Ilir
16,1603,Sumatera Selatan,Kab. Muara Enim
16,1604,Sumatera Selatan,Kab. Lahat
16,1605,Sumatera Selatan,Kab. Musi Rawas
16,1606,Sumatera Selatan,Kab. Musi Banyuasin
16,1607,Sumatera Selatan,Kab. Banyuasin
16,1608,Sumatera Selatan,Kab. Ogan Komering Ulu Selatan
16,1609,Sumatera Selatan,Kab. Ogan Komering Ulu Timur
16,1610,Sumatera Selatan,Kab. Ogan Ilir
16,1611,Sumatera Selatan,Kab. Empat Lawang
16,1612,Sumatera Selatan,Kab. Penukal Abab Lematang Ilir
16,1613,Sumatera Selatan,Kab. Musi Rawas Utara
16,1671,Sumatera Selatan,Kota Palembang
16,1672,Sumatera Selatan,Kota Prabumulih
16,1673,Sumatera Selatan,Kota Pagar Alam
16,1674,Sumatera Selatan,Kota Lubuk Linggau
17,1701,Bengkulu,Kab. Bengkulu Selatan
17,1702,Bengkulu,Kab. Rejang Lebong
17,1703,Bengkulu,Kab. Bengkulu Utara
17,1704,Bengkulu,Kab. Kaur
17,1705,Bengkulu,Kab. Seluma
17,1706,Bengkulu,Kab. Mukomuko
17,1707,Bengkulu,Kab. Lebong
17,1708,Bengkulu,Kab. Kepahiang
17,1709,Bengkulu,Kab. Bengkulu Tengah
17,1771,Bengkulu,Kota Bengkulu
18,1801,Lampung,Kab. Lampung Barat
18,1802,Lampung,Kab. Tanggamus
18,1803,Lampung,Kab. Lampung Selatan
18,1804,Lampung,Kab. Lampung Timur
18,1805,Lampung,Kab. Lampung Tengah
18,1806,Lampung,Kab. Lampung Utara
18,1807,Lampung,Kab. Way Kanan
18,1808,Lampung,Kab. Tulang Bawang
18,1809,Lampung,Kab. Pesawaran
18,1810,Lampung,Kab. Pringsewu
18,1811,Lampung,Kab. Mesuji
18,1812,Lampung,Kab. Tulang Bawang Barat
18,1813,Lampung,Kab. Pesisir Barat
18,1871,Lampung,Kota Bandar Lampung
18,1872,Lampung,Kota Metro
19,1901,Kepulauan Bangka Belitung,Kab. Bangka
19,1902,Kepulauan Bangka Belitung,Kab. Belitung
19,1903,Kepulauan Bangka Belitung,Kab. Bangka Barat
19,1904,Kepulauan Bangka Belitung,Kab. Bangka Tengah
19,1905,Kepulauan Bangka Belitung,Kab. Bangka Selatan
19,1906,Kepulauan Bangka Belitung,Kab. Belitung Timur
19,1971,Kepulauan Bangka Belitung,Kota Pangkal Pinang
21,2101,Kepulauan Riau,Kab. Karimun
21,2102,Kepulauan Riau,Kab. Bintan
21,2103,Kepulauan Riau,Kab. Natuna
21,2104,Kepulauan Riau,Kab. Lingga
21,2105,Kepulauan Riau,Kab. Kepulauan Anambas
21,2171,Kepulauan Riau,Kota Batam
21,2172,Kepulauan Riau,Kota Tanjung Pinang
31,3101,DKI Jakarta,Kab. Adm. Kepulauan Seribu
31,3171,DKI Jakarta,Kota Jakarta Selatan
31,3172,DKI Jakarta,Kota Jakarta Timur
31,3173,DKI Jakarta,Kota Jakarta Pusat
31,3174,DKI Jakarta,Kota Jakarta Barat
31,3175,DKI Jakarta,Kota Jakarta Utara
32,3201,Jawa Barat,Kab. Bogor
32,3202,Jawa Barat,Kab. Sukabumi
32,3203,Jawa Barat,Kab. Cianjur
32,3204,Jawa Barat,Kab. Bandung
32,3205,Jawa Barat,Kab. Garut
32,3206,Jawa Barat,Kab. Tasikmalaya
32,3207,Jawa Barat,Kab. Ciamis
32,3208,Jawa Barat,Kab. Kuningan
32,3209,Jawa Barat,Kab. Cirebon
32,3210,Jawa Barat,Kab. Majalengka
32,3211,Jawa Barat,Kab. Sumedang
32,3212,Jawa Barat,Kab. Indramayu
32,3213,Jawa Barat,Kab. Subang
32,3214,Jawa Barat,Kab. Purwakarta
32,3215,Jawa Barat,Kab. Karawang
32,3216,Jawa Barat,Kab. Bekasi
32,3217,Jawa Barat,Kab. Bandung Barat
32,3218,Jawa Barat,Kab. Pangandaran
32,3271,Jawa Barat,Kota Bogor
32,3272,Jawa Barat,Kota Sukabumi
32,3273,Jawa Barat,Kota Bandung
32,3274,Jawa Barat,Kota Cirebon
32,3275,Jawa Barat,Kota Bekasi
32,3276,Jawa Barat,Kota Depok
32,3277,Jawa Barat,Kota Cimahi
32,3278,Jawa Barat,Kota Tasikmalaya
32,3279,Jawa Barat,Kota Banjar
33,3301,Jawa Tengah,Kab. Cilacap
33,3302,Jawa Tengah,Kab. Banyumas
33,3303,Jawa Tengah,Kab. Purbalingga
33,3304,Jawa Tengah,Kab. Banjarnegara
33,3305,Jawa Tengah,Kab. Kebumen
33,3306,Jawa Tengah,Kab. Purworejo
33,3307,Jawa Tengah,Kab. Wonosobo
33,3308,Jawa Tengah,Kab. Magelang
33,3309,Jawa Tengah,Kab. Boyolali
