kode_prov;kode_bps_2014;kode_bps_2019;name_prov;name_kab_2014;name_kab_2019;dapil_2019;dapil 2014;change_14_19
11;1101;1101;Aceh;Simeulue;Simeulue;Aceh-01;Aceh-01;No Change
11;1102;1102;Aceh;Aceh Singkil;Aceh Singkil;Aceh-01;Aceh-01;No Change
11;1103;1103;Aceh;Aceh Selatan;Aceh Selatan;Aceh-01;Aceh-01;No Change
11;1104;1104;Aceh;Aceh Tenggara;Aceh Tenggara;Aceh-01;Aceh-01;No Change
11;1105;1105;Aceh;Aceh Timur;Aceh Timur;Aceh-02;Aceh-02;No Change
11;1106;1106;Aceh;Aceh Tengah;Aceh Tengah;Aceh-02;Aceh-02;No Change
11;1107;1107;Aceh;Aceh Barat;Aceh Barat;Aceh-01;Aceh-01;No Change
11;1108;1108;Aceh;Aceh Besar;Aceh Besar;Aceh-01;Aceh-01;No Change
11;1109;1109;Aceh;Aceh Pidie;Aceh Pidie;Aceh-01;Aceh-01;No Change
11;1110;1110;Aceh;Bireuen;Bireuen;Aceh-02;Aceh-02;No Change
11;1111;1111;Aceh;Aceh Utara;Aceh Utara;Aceh-02;Aceh-02;No Change
11;1112;1112;Aceh;Aceh Barat Daya;Aceh Barat Daya;Aceh-01;Aceh-01;No Change
11;1113;1113;Aceh;Gayo Lues;Gayo Lues;Aceh-01;Aceh-01;No Change
11;1114;1114;Aceh;Aceh Tamiang;Aceh Tamiang;Aceh-02;Aceh-02;No Change
11;1115;1115;Aceh;Nagan Raya;Nagan Raya;Aceh-01;Aceh-01;No Change
11;1116;1116;Aceh;Aceh Jaya;Aceh Jaya;Aceh-01;Aceh-01;No Change
11;1117;1117;Aceh;Bener Meriah;Bener Meriah;Aceh-02;Aceh-02;No Change
11;1118;1118;Aceh;Pidie Jaya;Pidie Jaya;Aceh-01;Aceh-01;No Change
11;1171;1171;Aceh;Banda Aceh;Banda Aceh;Aceh-01;Aceh-01;No Change
11;1172;1172;Aceh;Sabang;Sabang;Aceh-01;Aceh-01;No Change
11;1173;1173;Aceh;Langsa;Langsa;Aceh-02;Aceh-02;No Change
11;1174;1174;Aceh;Lhokseumawe;Lhokseumawe;Aceh-02;Aceh-02;No Change
11;1175;1175;Aceh;Subulussalam;Subulussalam;Aceh-01;Aceh-01;No Change
12;1201;1201;Sumatera Utara;Nias;Nias;Sumut-02;Sumut-02;No Change
12;1202;1202;Sumatera Utara;Mandailing Natal;Mandailing Natal;Sumut-02;Sumut-02;No Change
12;1203;1203;Sumatera Utara;Tapanuli Selatan;Tapanuli Selatan;Sumut-02;Sumut-02;No Change
12;1204;1204;Sumatera Utara;Tapanuli Tengah;Tapanuli Tengah;Sumut-02;Sumut-02;No Change
12;1205;1205;Sumatera Utara;Tapanuli Utara;Tapanuli Utara;Sumut-02;Sumut-02;No Change
12;1206;1206;Sumatera Utara;Toba Samosir;Toba Samosir;Sumut-02;Sumut-02;No Change
12;1207;1207;Sumatera Utara;Labuhan Batu;Labuhan Batu;Sumut-02;Sumut-02;No Change
12;1208;1208;Sumatera Utara;Asahan;Asahan;Sumut-03;Sumut-03;No Change
12;1209;1209;Sumatera Utara;Simalungun;Simalungun;Sumut-03;Sumut-03;No Change
12;1210;1210;Sumatera Utara;Dairi;Dairi;Sumut-03;Sumut-03;No Change
12;1211;1211;Sumatera Utara;Tanah Karo;Tanah Karo;Sumut-03;Sumut-03;No Change
12;1212;1212;Sumatera Utara;Deli Serdang;Deli Serdang;Sumut-01;Sumut-01;No Change
