kode_prov,kode_bps_2010,kode_bps_2014_x,kode_bps_2019,name_prov,name_kab_2014,name_kab_2019,dapil_2019,dapil 2014,change_14_19,name_kab_2010,Islam,Kristen,Katolik,Hindu,Budha,Khong Hu Chu,Lainnya,Tidak Terjawab,Tidak Ditanyakan,Jumlah
11,1101,1101,1101,Aceh,Simeulue,Simeulue,Aceh-01,Aceh-01,No Change,Simeulue,80424,171,5,0,25,0,0,1,48,80674
11,1102,1102,1102,Aceh,Aceh Singkil,Aceh Singkil,Aceh-01,Aceh-01,No Change,Aceh Singkil,90508,10715,746,2,1,0,263,0,274,102509
11,1103,1103,1103,Aceh,Aceh Selatan,Aceh Selatan,Aceh-01,Aceh-01,No Change,Aceh Selatan,200686,79,13,0,117,0,0,0,1356,202251
11,1104,1104,1104,Aceh,Aceh Tenggara,Aceh Tenggara,Aceh-01,Aceh-01,No Change,Aceh Tenggara,145265,32209,1275,3,2,0,0,0,256,179010
11,1105,1105,1105,Aceh,Aceh Timur,Aceh Timur,Aceh-02,Aceh-02,No Change,Aceh Timur,360144,30,9,0,43,1,0,0,248,360475
11,1106,1106,1106,Aceh,Aceh Tengah,Aceh Tengah,Aceh-02,Aceh-02,No Change,Aceh Tengah,174659,327,88,1,226,1,0,0,225,175527
11,1107,1107,1107,Aceh,Aceh Barat,Aceh Barat,Aceh-01,Aceh-01,No Change,Aceh Barat,170701,358,41,3,634,7,0,0,1814,173558
11,1108,1108,1108,Aceh,Aceh Besar,Aceh Besar,Aceh-01,Aceh-01,No Change,Aceh Besar,345535,681,136,20,154,6,1,0,4885,351418
11,1109,1109,1109,Aceh,Aceh Pidie,Aceh Pidie,Aceh-01,Aceh-01,No Change,Pidie,377453,79,9,1,115,0,0,0,1451,379108
11,1110,1110,1110,Aceh,Bireuen,Bireuen,Aceh-02,Aceh-02,No Change,Bireuen,387379,171,7,11,324,7,0,0,1389,389288
11,1111,1111,1111,Aceh,Aceh Utara,Aceh Utara,Aceh-02,Aceh-02,No Change,Aceh Utara,529199,171,13,9,98,0,0,0,261,529751
11,1112,1112,1112,Aceh,Aceh Barat Daya,Aceh Barat Daya,Aceh-01,Aceh-01,No Change,Aceh Barat Daya,125708,24,4,0,184,0,0,0,116,126036
11,1113,1113,1113,Aceh,Gayo Lues,Gayo Lues,Aceh-01,Aceh-01,No Change,Gayo Lues,79331,147,1,1,1,0,0,0,79,79560
11,1114,1114,1114,Aceh,Aceh Tamiang,Aceh Tamiang,Aceh-02,Aceh-02,No Change,Aceh Tamiang,249354,628,71,1,1265,7,0,0,588,251914
11,1115,1115,1115,Aceh,Nagan Raya,Nagan Raya,Aceh-01,Aceh-01,No Change,Nagan Raya,138869,244,4,0,44,0,0,0,502,139663
11,1116,1116,1116,Aceh,Aceh Jaya,Aceh Jaya,Aceh-01,Aceh-01,No Change,Aceh Jaya,75501,64,3,5,1,0,0,0,1208,76782
11,1117,1117,1117,Aceh,Bener Meriah,Bener Meriah,Aceh-02,Aceh-02,No Change,Bener Meriah,121722,82,12,7,42,1,0,0,411,122277
11,1118,1118,1118,Aceh,Pidie Jaya,Pidie Jaya,Aceh-01,Aceh-01,No Change,Pidie Jaya,132062,14,1,0,1,1,0,0,877,132956
11,1171,1171,1171,Aceh,Banda Aceh,Banda Aceh,Aceh-01,Aceh-01,No Change,Kota Banda Aceh,216941,1571,431,50,2535,3,11,0,1904,223446
