kode_prov,kode_bps_2010,kode_bps_2014_x,kode_bps_2019,name_prov,name_kab_2014,name_kab_2019,dapil_2019,dapil 2014,change_14_19,name_kab_2010,Islam,Kristen,Katolik,Hindu,Budha,Khong Hu Chu,Lainnya,Tidak Terjawab,Tidak Ditanyakan
11,1101,1101,1101,Aceh,Simeulue,Simeulue,Aceh-01,Aceh-01,No Change,Simeulue,99.69011081637207,0.2119642016015073,0.006197783672558694,0.0,0.030988918362793463,0.0,0.0,0.0012395567345117387,0.05949872325656345
11,1102,1102,1102,Aceh,Aceh Singkil,Aceh Singkil,Aceh-01,Aceh-01,No Change,Aceh Singkil,88.29273527202488,10.452740734959855,0.7277409788408823,0.0019510482006457968,0.0009755241003228984,0.0,0.25656283838492233,0.0,0.2672936034884742
11,1103,1103,1103,Aceh,Aceh Selatan,Aceh Selatan,Aceh-01,Aceh-01,No Change,Aceh Selatan,99.22620901750795,0.039060375474039684,0.00642765672357615,0.0,0.05784891051218535,0.0,0.0,0.0,0.6704540397822508
11,1104,1104,1104,Aceh,Aceh Tenggara,Aceh Tenggara,Aceh-01,Aceh-01,No Change,Aceh Tenggara,81.14909781576448,17.992849561477012,0.7122507122507122,0.0016758840288252053,0.0011172560192168038,0.0,0.0,0.0,0.14300877045975086
11,1105,1105,1105,Aceh,Aceh Timur,Aceh Timur,Aceh-02,Aceh-02,No Change,Aceh Timur,99.90817671128372,0.008322352451626326,0.002496705735487898,0.0,0.0119287051806644,0.00027741174838754424,0.0,0.0,0.06879811360011097
11,1106,1106,1106,Aceh,Aceh Tengah,Aceh Tengah,Aceh-02,Aceh-02,No Change,Aceh Tengah,99.50548918400018,0.1862961253824198,0.0501347371059723,0.0005697129216587762,0.1287551202948834,0.0005697129216587762,0.0,0.0,0.12818540737322462
11,1107,1107,1107,Aceh,Aceh Barat,Aceh Barat,Aceh-01,Aceh-01,No Change,Aceh Barat,98.35386441420161,0.20627110245566324,0.023623226817548026,0.0017285287915279042,0.3652957512762304,0.0040332338468984435,0.0,0.0,1.0451837426105397
11,1108,1108,1108,Aceh,Aceh Besar,Aceh Besar,Aceh-01,Aceh-01,No Change,Aceh Besar,98.32592525141001,0.19378631714937766,0.0387003511487744,0.005691228110113881,0.043822456447876884,0.0017073684330341644,0.00028456140550569414,0.0,1.3900824658953157
11,1109,1109,1109,Aceh,Aceh Pidie,Aceh Pidie,Aceh-01,Aceh-01,No Change,Pidie,99.56344893803349,0.020838389060637074,0.002373993690452325,0.000263777076716925,0.030334363822446374,0.0,0.0,0.0,0.3827405383162582
11,1110,1110,1110,Aceh,Bireuen,Bireuen,Aceh-02,Aceh-02,No Change,Bireuen,99.50961755820884,0.04392634758841783,0.0017981545796428352,0.0028256714822958834,0.08322886911489694,0.0017981545796428352,0.0,0.0,0.35680524444627115
11,1111,1111,1111,Aceh,Aceh Utara,Aceh Utara,Aceh-02,Aceh-02,No Change,Aceh Utara,99.89580010231222,0.032279316131541044,0.002453983097719495,0.0016989113753442654,0.018499257198193116,0.0,0.0,0.0,0.0492684298849837
11,1112,1112,1112,Aceh,Aceh Barat Daya,Aceh Barat Daya,Aceh-01,Aceh-01,No Change,Aceh Barat Daya,99.73975689485545,0.019042178425211845,0.0031736964042019733,0.0,0.1459900345932908,0.0,0.0,0.0,0.09203719572185724
11,1113,1113,1113,Aceh,Gayo Lues,Gayo Lues,Aceh-01,Aceh-01,No Change,Gayo Lues,99.71216691804928,0.18476621417797887,0.0012569130216189036,0.0012569130216189036,0.0012569130216189036,0.0,0.0,0.0,0.0992961287078934
11,1114,1114,1114,Aceh,Aceh Tamiang,Aceh Tamiang,Aceh-02,Aceh-02,No Change,Aceh Tamiang,98.98378017894994,0.2492914248513381,0.028184221599434726,0.00039696086759767217,0.5021554975110554,0.002778726073183705,0.0,0.0,0.2334129901474313
11,1115,1115,1115,Aceh,Nagan Raya,Nagan Raya,Aceh-01,Aceh-01,No Change,Nagan Raya,99.43148865483343,0.1747062572048431,0.0028640370033580827,0.0,0.031504407036938915,0.0,0.0,0.0,0.3594366439214395
11,1116,1116,1116,Aceh,Aceh Jaya,Aceh Jaya,Aceh-01,Aceh-01,No Change,Aceh Jaya,98.33164022817849,0.08335286916204318,0.003907165741970775,0.006511942903284624,0.001302388580656925,0.0,0.0,0.0,1.5732854054335652
11,1117,1117,1117,Aceh,Bener Meriah,Bener Meriah,Aceh-02,Aceh-02,No Change,Bener Meriah,99.54611251502735,0.06706085363559787,0.00981378345886798,0.005724707017672988,0.03434824210603793,0.0008178152882389984,0.0,0.0,0.3361220834662283
11,1118,1118,1118,Aceh,Pidie Jaya,Pidie Jaya,Aceh-01,Aceh-01,No Change,Pidie Jaya,99.3275970997924,0.01052979933210987,0.0007521285237221336,0.0,0.0007521285237221336,0.0007521285237221336,0.0,0.0,0.6596167153043112
11,1171,1171,1171,Aceh,Banda Aceh,Banda Aceh,Aceh-01,Aceh-01,No Change,Kota Banda Aceh,97.0887820771014,0.7030781486354645,0.19288776706676333,0.022376771121434262,1.134502295856717,0.0013426062672860556,0.0049228896467155385,0.0,0.8521074443042167
11,1172,1172,1172,Aceh,Sabang,Sabang,Aceh-01,Aceh-01,No Change,Kota Sabang,97.50758490196718,0.9232375297687012,0.17290314161745995,0.0032623234267445274,0.7699083287117086,0.0,0.006524646853489055,0.0,0.6165791276547157
11,1173,1173,1173,Aceh,Langsa,Langsa,Aceh-02,Aceh-02,No Change,Kota Langsa,98.27587364463392,0.3571788243982678,0.008056665211991004,0.008728053979656921,0.30548188928799225,0.0,0.0,0.0,1.0446809224881668
11,1174,1174,1174,Aceh,Lhokseumawe,Lhokseumawe,Aceh-02,Aceh-02,No Change,Kota Lhokseumawe,99.10494674666838,0.3149045062309027,0.04381788120096049,0.004089668912089645,0.3254207977191332,0.0,0.0,0.0,0.20682039926853352
11,1175,1175,1175,Aceh,Subulussalam,Subulussalam,Aceh-01,Aceh-01,No Change,Kota Subulussalam,97.71669187201613,1.7643744625329896,0.4536962903656258,0.0014826676155739408,0.0029653352311478816,0.0029653352311478816,0.0,0.0,0.057824037007383686
12,1201,1201,1201,Sumatera Utara,Nias,Nias,Sumut-02,Sumut-02,No Change,Nias,1.1691544182010551,86.23503352946102,12.566887659179306,0.0,0.0,0.0030446729640652478,0.02055154250744042,0.004567009446097872,0.0007611682410163117
12,1202,1202,1202,Sumatera Utara,Mandailing Natal,Mandailing Natal,Sumut-02,Sumut-02,No Change,Mandailing Natal,95.51198310881723,3.074985491856919,0.11211399078887258,0.0024694711627504967,0.003951153860400796,0.0,0.0,0.0,1.2944967835138104
12,1203,1203,1203,Sumatera Utara,Tapanuli Selatan,Tapanuli Selatan,Sumut-02,Sumut-02,No Change,Tapanuli Selatan,78.60508310748062,19.610332998502734,0.9643121126547012,0.0011371605102060154,0.0056858025510300786,0.0,0.01667835414968823,0.0,0.7967704641510149
12,1204,1204,1204,Sumatera Utara,Tapanuli Tengah,Tapanuli Tengah,Sumut-02,Sumut-02,No Change,Tapanuli Tengah,42.71154637055316,45.30800174789225,11.613844334772775,0.005783466995681678,0.06683117417232161,0.0009639111659469463,0.11117108780588113,0.002570429775858523,0.17928747686613206
12,1205,1205,1205,Sumatera Utara,Tapanuli Utara,Tapanuli Utara,Sumut-02,Sumut-02,No Change,Tapanuli Utara,4.762996093204468,90.23623400666769,4.588962855004531,0.0007161861654318423,0.04977493849751305,0.0017904654135796059,0.00895232706789803,0.0025066515790114485,0.34806647639987537
12,1206,1206,1206,Sumatera Utara,Toba Samosir,Toba Samosir,Sumut-02,Sumut-02,No Change,Toba Samosir,6.202311571140593,85.4241634850314,6.598547903586344,0.021371347376811508,0.042742694753623016,0.002888019915785339,1.0477736254469212,0.0,0.6602013527485285
12,1207,1207,1207,Sumatera Utara,Labuhan Batu,Labuhan Batu,Sumut-02,Sumut-02,No Change,Labuhan Batu,82.92356242923562,13.953169039531689,1.1589699115896992,0.012767700127677,1.5988533159885332,0.0021681000216810004,0.0074679000746789995,0.0,0.343041603430416
12,1208,1208,1208,Sumatera Utara,Asahan,Asahan,Sumut-03,Sumut-03,No Change,Asahan,88.94073072042522,9.152111714990305,0.67532382024086,0.016310723777144636,1.024732444274188,0.0016460363444824864,0.024241626164196613,0.0,0.16490291378360905
12,1209,1209,1209,Sumatera Utara,Simalungun,Simalungun,Sumut-03,Sumut-03,No Change,Simalungun,57.27241598591205,36.96888910629556,5.152374896052439,0.01565327985129384,0.2403023039671281,0.0015897862348970306,0.057476886953969575,0.010272464902411585,0.2810252898302597
12,1210,1210,1210,Sumatera Utara,Dairi,Dairi,Sumut-03,Sumut-03,No Change,Dairi,15.664332556942526,72.7975619600597,11.285192165982233,0.00740595364613613,0.10072096958745136,0.0022217860938408386,0.013330716563045032,0.0,0.12923389112507544
12,1211,1211,1211,Sumatera Utara,Tanah Karo,Tanah Karo,Sumut-03,Sumut-03,No Change,Karo,26.15568725780716,58.20691816731253,14.724754957829953,0.037041258263049916,0.4325279234100752,0.0011397310234784591,0.028778208342831086,0.0,0.4131524960109414
12,1212,1212,1212,Sumatera Utara,Deli Serdang,Deli Serdang,Sumut-01,Sumut-01,No Change,Deli Serdang,78.22289716833545,16.817514888873124,2.479179594187098,0.16694304332308812,2.031912986314468,0.005361837457014539,0.018933988520082597,0.010891232334560784,0.246365260655116
12,1213,1213,1213,Sumatera Utara,Langkat,Langkat,Sumut-03,Sumut-03,No Change,Langkat,90.58121928405693,7.751760918209678,0.4131116703788493,0.0422723725756691,0.7933563126915306,0.002067108683406802,0.028009322660162168,0.0,0.38820301074379737
12,1214,1214,1214,Sumatera Utara,Nias Selatan,Nias Selatan,Sumut-02,Sumut-02,No Change,Nias Selatan,2.5522249989644745,77.26503928093116,20.062614770734672,0.0020710508512019,0.010700429397876484,0.0006903502837339666,0.032101288193629444,0.03072058762616152,0.04383724301710688
12,1215,1215,1215,Sumatera Utara,Humbang Hasundutan,Humbang Hasundutan,Sumut-02,Sumut-02,No Change,Humbang Hasundutan,3.009030002912904,83.11214681036994,13.638217302650745,0.0,0.0011651616661811828,0.0,0.05243227497815321,0.0011651616661811828,0.18584328575589865
12,1216,1216,1216,Sumatera Utara,Pakpak Bharat,Pakpak Bharat,Sumut-03,Sumut-03,No Change,Pakpak Bharat,39.89877792865079,56.943587211455366,3.0193803234168617,0.0,0.0,0.0,0.0,0.0,0.13825453647697813
12,1217,1217,1217,Sumatera Utara,Samosir,Samosir,Sumut-02,Sumut-02,No Change,Samosir,1.5745530826640368,58.45820831905594,39.760808337442434,0.006686000351015018,0.004178750219384387,0.0008357500438768773,0.1437490075468229,0.0,0.05098075267648952
12,1218,1218,1218,Sumatera Utara,Serdang Bedagai,Serdang Bedagai,Sumut-01,Sumut-01,No Change,Serdang Bedagai,83.7599662170688,13.375550781230285,1.3962377793442948,0.03482602968119882,1.2221076309383008,0.0072343926390896094,0.009589776289025765,0.11305841519693532,0.08142897761207843
12,1219,1219,1219,Sumatera Utara,Batu Bara,Batu Bara,Sumut-03,Sumut-03,No Change,Batu Bara,87.81302792077366,10.044827540338137,1.5204118280857175,0.006650970376577942,0.2926426965694295,0.01064155260252471,0.07129840243691556,0.0010641552602524706,0.23943493355680595
12,1220,1220,1220,Sumatera Utara,Padang Lawas Utara,Padang Lawas Utara,Sumut-02,Sumut-02,No Change,Padang Lawas Utara,89.67838912723516,9.322196921232402,0.3722078816808407,0.0013420957272145698,0.005368382908858279,0.0,0.003578921939238853,0.0,0.6169166692762972
12,1221,1221,1221,Sumatera Utara,Padang Lawas,Padang Lawas,Sumut-02,Sumut-02,No Change,Padang Lawas,94.97866899879696,4.784270550788204,0.16825076911466355,0.0,0.002219667138715878,0.0,0.0008878668554863512,0.0,0.06570214730598999
12,1222,1222,1222,Sumatera Utara,Labuhan Batu Selatan,Labuhan Batu Selatan,Sumut-02,Sumut-02,No Change,Labuhan Batu Selatan,85.95794333622642,13.278208540261385,0.4746590413904125,0.005762173491841122,0.22400449449532364,0.005402037648601052,0.0,0.0,0.05402037648601052
12,1223,1223,1223,Sumatera Utara,Labuhan Batu Utara,Labuhan Batu Utara,Sumut-02,Sumut-02,No Change,Labuhan Batu Utara,82.22503107036265,15.872948675691939,1.2131804863003135,0.009071638731059171,0.5446007118212524,0.0027214916193177524,0.003023879577019725,0.0,0.1294220458964442
12,1224,1224,1224,Sumatera Utara,Nias Utara,Nias Utara,Sumut-02,Sumut-02,No Change,Nias Utara,5.417937191537519,78.21901229134576,16.249096224576405,0.0015717833453836724,0.0007858916726918362,0.0,0.11002483417685706,0.0007858916726918362,0.0007858916726918362
12,1225,1225,1225,Sumatera Utara,Nias Barat,Nias Barat,Sumut-02,Sumut-02,No Change,Nias Barat,1.9814930262691457,78.74265038444143,19.240407300108792,0.002444778564181549,0.014668671385089297,0.0012223892820907745,0.01344628210299852,0.0012223892820907745,0.002444778564181549
12,1271,1271,1271,Sumatera Utara,Sibolga,Sibolga,Sumut-02,Sumut-02,No Change,Kota Sibolga,57.24127318568672,35.190161101312725,4.428214628141238,0.0023673962192682376,2.9734496514009066,0.01657177353487766,0.01065328298670707,0.0,0.1373089807175578
12,1272,1272,1272,Sumatera Utara,Tanjung Balai,Tanjung Balai,Sumut-03,Sumut-03,No Change,Kota Tanjung Balai,85.03933439088348,7.995079154391531,0.7562562724594516,0.01748195150377157,5.685519116837709,0.01748195150377157,0.0019424390559746188,0.0,0.4869047233643045
12,1273,1273,1273,Sumatera Utara,Pematang Siantar,Pematang Siantar,Sumut-03,Sumut-03,No Change,Kota Pematang Siantar,43.898541956045634,46.54321724087978,4.714569361477301,0.11291106017094307,4.357088684181373,0.0115041457532659,0.06945095399193857,0.034086357787454516,0.25863023971231114
12,1274,1274,1274,Sumatera Utara,Tebing Tinggi,Tebing Tinggi,Sumut-01,Sumut-01,No Change,Kota Tebing Tinggi,78.03480942938971,12.866958581185287,0.9136098259528532,0.1493996474994492,7.100269883234192,0.04819343467724168,0.003442388191231549,0.0027539105529852392,0.8805628993170302
12,1275,1275,1275,Sumatera Utara,Medan,Medan,Sumut-01,Sumut-01,No Change,Kota Medan,67.80273740113748,20.273215707400325,1.7902279260682397,0.4431710375141232,8.810360362507806,0.017639122620506195,0.016161250184734053,0.023407592450455518,0.8230796001163228
12,1276,1276,1276,Sumatera Utara,Binjai,Binjai,Sumut-03,Sumut-03,No Change,Kota Binjai,85.0792593254629,7.879620075237455,0.814124491172193,0.2559373400391625,5.440090349943532,0.07393745378909138,0.006499995937502539,0.0,0.4505309684181448
12,1277,1277,1277,Sumatera Utara,Padang Sidempuan,Padang Sidempuan,Sumut-02,Sumut-02,No Change,Kota Padangsidimpuan,89.95410664592156,8.940067143177867,0.4584114320919329,0.0,0.3498128240337073,0.0026105434629381144,0.0,0.031848630247845004,0.26314278106416195
12,1278,1278,1278,Sumatera Utara,Gunung Sitoli,Gunung Sitoli,Sumut-02,Sumut-02,No Change,Kota Gunungsitoli,13.590117430785568,78.82838623793602,7.220170837229205,0.0,0.19413321500451655,0.00158476093881238,0.02852569689862285,0.04358092581734045,0.09350089538993042
13,1301,1301,1301,Sumatera Barat,Kepulauan Mentawai,Kepulauan Mentawai,Sumbar-01,Sumbar-01,No Change,Kepulauan Mentawai,19.556798340619377,48.99505073976344,30.94009688472293,0.003938403371273286,0.0,0.00787680674254657,0.4726084045527943,0.017066414608850906,0.0065640056187888105
13,1302,1302,1302,Sumatera Barat,Pesisir Selatan,Pesisir Selatan,Sumbar-01,Sumbar-01,No Change,Pesisir Selatan,99.7679652227394,0.1185800217124912,0.02935379712332788,0.0018637331506874849,0.0025626330821952913,0.0,0.0004659332876718712,0.05917352753432763,0.02003513136989046
13,1303,1303,1303,Sumatera Barat,Solok,Solok,Sumbar-01,Sumbar-01,No Change,Solok,99.70163469758957,0.13282993751542033,0.008319801701829782,0.0008606691415685981,0.0020082279969933963,0.0005737794277123988,0.0014344485692809972,0.07258309760561844,0.07975534045202344
13,1304,1304,1304,Sumatera Barat,Sawahlunto Sijunjung,Sawahlunto Sijunjung,Sumbar-01,Sumbar-01,No Change,Sijunjung,99.37073574369619,0.38350435777884573,0.09909673327618757,0.003963869331047502,0.006441287662952191,0.0009909673327618755,0.004954836663809377,0.01337805899228532,0.1169341452659013
13,1305,1305,1305,Sumatera Barat,Tanah Datar,Tanah Datar,Sumbar-01,Sumbar-01,No Change,Tanah Datar,99.36749248140293,0.11167110790737796,0.03751912884718784,0.0008862786341855395,0.004431393170927697,0.0008862786341855395,0.00029542621139517984,0.002954262113951798,0.4738636430778684
13,1306,1306,1306,Sumatera Barat,Padang Pariaman,Padang Pariaman,Sumbar-02,Sumbar-02,No Change,Padang Pariaman,99.49725870463566,0.2940755288245162,0.05549077369993045,0.002557178511517532,0.0005114357023035063,0.00025571785115175317,0.0,0.09717278343766622,0.05267787733726116
13,1307,1307,1307,Sumatera Barat,Agam,Agam,Sumbar-02,Sumbar-02,No Change,Agam,99.14873596524592,0.6391075798114996,0.06617522584219518,0.0041771737242581675,0.002418363735096833,0.00021985124864516668,0.001319107491871,0.02154542236722633,0.11630131053329315
