kode_bps_2010,name_kab_2010,Islam,Kristen,Katolik,Hindu,Budha,Khong Hu Chu,Lainnya,Tidak Terjawab,Tidak Ditanyakan,Jumlah
1101,Simeulue,80424,171,5,0,25,0,0,1,48,80674
1102,Aceh Singkil,90508,10715,746,2,1,0,263,0,274,102509
1103,Aceh Selatan,200686,79,13,0,117,0,0,0,1356,202251
1104,Aceh Tenggara,145265,32209,1275,3,2,0,0,0,256,179010
1105,Aceh Timur,360144,30,9,0,43,1,0,0,248,360475
1106,Aceh Tengah,174659,327,88,1,226,1,0,0,225,175527
1107,Aceh Barat,170701,358,41,3,634,7,0,0,1814,173558
1108,Aceh Besar,345535,681,136,20,154,6,1,0,4885,351418
1109,Pidie,377453,79,9,1,115,0,0,0,1451,379108
1110,Bireuen,387379,171,7,11,324,7,0,0,1389,389288
1111,Aceh Utara,529199,171,13,9,98,0,0,0,261,529751
1112,Aceh Barat Daya,125708,24,4,0,184,0,0,0,116,126036
1113,Gayo Lues,79331,147,1,1,1,0,0,0,79,79560
1114,Aceh Tamiang,249354,628,71,1,1265,7,0,0,588,251914
1115,Nagan Raya,138869,244,4,0,44,0,0,0,502,139663
1116,Aceh Jaya,75501,64,3,5,1,0,0,0,1208,76782
1117,Bener Meriah,121722,82,12,7,42,1,0,0,411,122277
1118,Pidie Jaya,132062,14,1,0,1,1,0,0,877,132956
1171,Kota Banda Aceh,216941,1571,431,50,2535,3,11,0,1904,223446
1172,Kota Sabang,29889,283,53,1,236,0,2,0,189,30653
1173,Kota Langsa,146377,532,12,13,455,0,0,0,1556,148945
1174,Kota Lhokseumawe,169631,539,75,7,557,0,0,0,354,171163
1175,Kota Subulussalam,65906,1190,306,1,2,2,0,0,39,67446
1201,Nias,1536,113293,16510,0,0,4,27,6,1,131377
1202,Mandailing Natal,386771,12452,454,10,16,0,0,0,5242,404945
1203,Tapanuli Selatan,207372,51735,2544,3,15,0,44,0,2102,263815
1204,Tapanuli Tengah,132932,141013,36146,18,208,3,346,8,558,311232
1205,Tapanuli Utara,13301,251991,12815,2,139,5,25,7,972,279257
1206,Toba Samosir,10738,147894,11424,37,74,5,1814,0,1143,173129
1207,Labuhan Batu,344224,57921,4811,53,6637,9,31,0,1424,415110
1208,Asahan,594366,61161,4513,109,6848,11,162,0,1102,668272
1209,Simalungun,468328,302302,42132,128,1965,13,470,84,2298,817720
1210,Dairi,42302,196592,30476,20,272,6,36,0,349,270053
1211,Karo,91796,204283,51678,130,1518,4,101,0,1450,350960
1212,Deli Serdang,1400527,301106,44388,2989,36380,96,339,195,4411,1790431
1213,Langkat,876405,75001,3997,409,7676,20,271,0,3756,967535
1214,Nias Selatan,7394,223843,58123,6,31,2,93,89,127,289708
1215,Humbang Hasundutan,5165,142662,23410,0,2,0,90,2,319,171650
1216,Pakpak Bharat,16161,23065,1223,0,0,0,0,0,56,40505
1217,Samosir,1884,69947,47575,8,5,1,172,0,61,119653
1218,Serdang Bedagai,497855,79502,8299,207,7264,43,57,672,484,594383
1219,Batu Bara,330076,37757,5715,25,1100,40,268,4,900,375885
1220,Padang Lawas Utara,200459,20838,832,3,12,0,8,0,1379,223531
1221,Padang Lawas,213948,10777,379,0,5,0,2,0,148,225259
